tSec,x,y,z,vx,vy,vz,
63360,38292215.1492802,17650167.5556515,-57956.7692646323,-1287.01900606962,2792.29863841147,3.48651894699498,
63420,38214627.7268276,17817536.0014583,-57747.0199781049,-1299.22428281647,2786.64065541659,3.50511298162659,
63480,38136308.7328211,17984563.3674196,-57536.157025075,-1311.40468563874,2780.92932836418,3.52364110440374,
63540,38057259.6666924,18151246.4561668,-57324.1843709227,-1323.55998140568,2775.16476658454,3.54210295990971,
63600,37977482.0418468,18317582.0769215,-57111.1060023156,-1335.68993746689,2769.3470804266,3.56049819397174,
63660,37896977.3856341,18483567.045557,-56896.9259271343,-1347.79432165673,2763.47638125572,3.57882645366768,
63720,37815747.2393193,18649198.1846589,-56681.6481743969,-1359.87290229876,2757.55278145164,3.59708738733264,
63780,37733793.1580532,18814472.3235857,-56465.2767941838,-1371.92544821021,2751.57639440629,3.61528064456563,
63840,37651116.7108427,18979386.2985302,-56247.8158575612,-1383.95172870636,2745.54733452164,3.63340587623611,
63900,37567719.4805207,19143936.9525791,-56029.2694565047,-1395.95151360496,2739.46571720751,3.65146273449059,
63960,37483603.0637159,19308121.1357741,-55809.6417038229,-1407.92457323066,2733.33165887936,3.66945087275921,
64020,37398769.0708221,19471935.705172,-55588.9367330797,-1419.87067841935,2727.1452769561,3.68736994576221,
64080,37313219.1259677,19635377.5249047,-55367.1586985172,-1431.78960052259,2720.90668985779,3.70521960951642,
64140,37226954.8669841,19798443.4662392,-55144.3117749772,-1443.68111141195,2714.61601700345,3.72299952134181,
64200,37139977.9453749,19961130.4076376,-54920.4001578231,-1455.54498348339,2708.27337880869,3.74070933986786,
64260,37052290.0262843,20123435.234817,-54695.428062861,-1467.38098966162,2701.87889668352,3.75834872504004,
64320,36963892.7884646,20285354.8408084,-54469.3997262609,-1479.18890340442,2695.43269302993,3.77591733812615,
64380,36874787.9242449,20446886.1260172,-54242.3194044766,-1490.96849870698,2688.93489123961,3.79341484172277,
64440,36784977.1394982,20608025.9982814,-54014.1913741662,-1502.71955010623,2682.38561569158,3.81084089976156,
64500,36694462.1536089,20768771.3729316,-53785.0199321118,-1514.44183268515,2675.78499174982,3.82819517751559,
64560,36603244.6994401,20929119.1728498,-53554.8093951385,-1526.13512207707,2669.13314576086,3.84547734160564,
64620,36511326.5233,21089066.3285279,-53323.5641000338,-1537.79919446996,2662.43020505138,3.8626870600065,
64680,36418709.3849091,21248609.7781269,-53091.2884034658,-1549.4338266107,2655.67629792578,3.8798240020532,
64740,36325395.057366,21407746.4675356,-52857.9866819014,-1561.03879580937,2648.87155366372,3.89688783844722,
64800,36231385.3271137,21566473.3504283,-52623.6633315246,-1572.61387994351,2642.01610251767,3.91387824126271,
64860,36136681.9939055,21724787.3883238,-52388.3227681533,-1584.15885746234,2635.11007571038,3.93079488395264,
64920,36041286.8707704,21882685.5506435,-52151.9694271569,-1595.67350739102,2628.15360543245,3.94763744135499,
64980,35945201.7839786,22040164.8147688,-51914.6077633728,-1607.15760933489,2621.1468248397,3.96440558969879,
65040,35848428.5730065,22197222.1660997,-51676.2422510227,-1618.61094348364,2614.08986805074,3.9810990066103,
65100,35750969.0905013,22353854.5981119,-51436.8773836286,-1630.03329061558,2606.98287014433,3.99771737111903,
65160,35652825.2022459,22510059.1124147,-51196.5176739286,-1641.42443210177,2599.82596715682,4.01426036366378,
65220,35553998.7871231,22665832.7188083,-50955.1676537921,-1652.78414991023,2592.61929607957,4.03072766609867,
65280,35454491.7370793,22821172.4353407,-50712.8318741344,-1664.11222661012,2585.36299485631,4.04711896169913,
65340,35354305.9570889,22976075.2883653,-50469.5149048318,-1675.40844537588,2578.05720238053,4.06343393516786,
65400,35253443.3651176,23130538.3125975,-50225.2213346352,-1686.6725899914,2570.7020584928,4.07967227264074,
65460,35151905.8920854,23284558.5511713,-49979.9557710843,-1697.90444485414,2563.29770397812,4.09583366169278,
65520,35049695.4818303,23438133.0556963,-49733.722840421,-1709.10379497925,2555.84428056323,4.11191779134397,
65580,34946814.0910704,23591258.8863136,-49486.5271875026,-1720.27042600369,2548.34193091388,4.12792435206515,
65640,34843263.689367,23743933.1117527,-49238.3734757142,-1731.40412419034,2540.79079863213,4.14385303578382,
65700,34739046.2590868,23896152.8093869,-48989.2663868818,-1742.50467643208,2533.19102825362,4.15970353588995,
65760,34634163.7953639,24047915.0652899,-48739.2106211835,-1753.57187025588,2525.54276524476,4.17547554724177,
65820,34528618.3060616,24199216.9742909,-48488.2108970622,-1764.60549382683,2517.84615599999,4.19116876617149,
65880,34422411.811734,24350055.6400309,-48236.2719511361,-1775.60533595223,2510.10134783899,4.20678289049102,
65940,34315546.3455876,24500428.1750175,-47983.3985381105,-1786.57118608562,2502.30848900384,4.22231761949767,
66000,34208023.953442,24650331.7006805,-47729.5954306879,-1797.50283433082,2494.4677286562,4.23777265397981,
66060,34099846.6936909,24799763.347427,-47474.8674194787,-1808.4000714459,2486.57921687445,4.25314769622252,
66120,33991016.6372632,24948720.254696,-47219.2193129112,-1819.26268884724,2478.64310465086,4.26844245001315,
66180,33881535.8675824,25097199.5710137,-46962.6559371413,-1830.09047861349,2470.65954388866,4.28365662064695,
66240,33771406.4805278,25245198.4540475,-46705.1821359616,-1840.88323348957,2462.62868739917,4.29878991493259,
66300,33660630.5843936,25392714.0706608,-46446.8027707108,-1851.64074689061,2454.55068889886,4.31384204119772,
66360,33549210.2998491,25539743.5969669,-46187.5227201822,-1862.36281290591,2446.42570300642,4.32881270929438,
66420,33437147.7598978,25686284.2183835,-45927.3468805322,-1873.0492263029,2438.25388523983,4.34370163060458,
