tSec,x,y,z,vx,vy,vz,
25560,-6492458.85202782,-3905753.94227935,1468167.39259487,458.977830795769,-3182.63261072012,-6428.83035911044,
25620,-6454794.32256637,-4090512.23189976,1080340.68558489,796.182901882863,-2974.37138140305,-6495.35350549893,
25680,-6396966.32564254,-4262492.46140897,689131.664580026,1130.91712813633,-2756.80881919364,-6541.54418439745,
25740,-6319154.75837399,-4421156.92205235,295765.02163396,1462.12716100407,-2530.628773106,-6567.25513935689,
25800,-6221602.40739638,-4566009.77847398,-98527.6788757803,1788.77062390329,-2296.54278533416,-6572.40462645939,
25860,-6104614.18435122,-4696598.65908389,-492511.942001906,2109.81964376662,-2055.28769763627,-6556.9767333884,
25920,-5968556.15136207,-4812516.09965598,-884954.294701908,2424.26431458476,-1807.62315807147,-6521.02142073852,
25980,-5813854.34126646,-4913400.83501183,-1274626.23290886,2731.11607310486,-1554.32905389768,-6464.65430286491,
26040,-5640993.3783081,-4998938.93496046,-1660308.14801075,3029.41097218384,-1296.202890146,-6388.05618429584,
26100,-5450514.90563627,-5068864.78160287,-2040793.21880189,3318.21284862428,-1034.05712307233,-6291.4723756836,
26160,-5243015.82561735,-5122961.8851513,-2414891.25591162,3596.616395883,-768.716442814777,-6175.21179101396,
26220,-5019146.35881069,-5161063.53517957,-2781432.48494899,3863.75013156776,-501.01500682476,-6039.64580411543,
26280,-4779607.92888013,-5183053.2848069,-3139271.25353085,4118.77922573727,-231.793641376077,-5885.20685560241,
26340,-4525150.8828582,-5188865.26664023,-3487289.64756314,4360.90815629755,38.1029635218319,-5712.38682504746,
26400,-4256572.05775266,-5178484.34087435,-3824401.00351314,4589.38317455516,307.829039718717,-5521.73519705634,
26460,-3974712.20487203,-5151946.07736219,-4149553.30518636,4803.4945838525,576.540487235552,-5313.85704914372,
26520,-3680453.28285592,-5109336.57434548,-4461732.45489263,5002.57883787917,843.397571675117,-5089.41087930717,
26580,-3374715.63019192,-5050792.1169069,-4759965.40984947,5186.0204597615,1107.56756911343,-4849.10628915123,
26640,-3058455.0278696,-4976498.67832686,-5043323.1756128,5353.25378589502,1368.22735765596,-4593.70153681682,
26700,-2732659.66258247,-4886691.26757653,-5310923.64900479,5503.76453725832,1624.56595433368,-4324.00096865298,
26760,-2398347.00083345,-4781653.12627559,-5561934.3034943,5637.09121777271,1875.78699587937,-4040.85233678763,
26820,-2056560.58440393,-4661714.77856386,-5795574.71026066,5752.82633604835,2121.11115935198,-3745.1440042694,
26880,-1708366.75802765,-4527252.9378938,-6011118.88826116,5850.61744200727,2359.77850745671,-3437.80204191908,
26940,-1354851.34055547,-4378689.27584016,-6207897.47731163,5930.16797408154,2591.05074031663,-3119.78723602631,
27000,-997116.250862616,-4216489.05885867,-6385299.72954629,5991.23792186892,2814.21334437299,-2792.09203009167,
27060,-636276.099291051,-4041159.65933298,-6542775.31588216,6033.64431447003,3028.57763326263,-2455.73741926282,
27120,-273454.75471517,-3853248.94747523,-6679835.94505399,6057.26154592847,3233.48267788607,-2111.76980998671,
27180,90218.1031529835,-3653343.57090499,-6796056.79361512,6062.02154341458,3428.29711935673,-1761.25786476328,
27240,453610.43748651,-3442067.12880388,-6891077.74713611,6047.91380887124,3612.42087606363,-1405.28936858485,
27300,815591.308145455,-3220078.24546408,-6964604.45388653,6014.9853853552,3785.28680185537,-1044.96810095164,
27360,1175034.32102688,-2988068.5442302,-7016409.18856135,5963.34072964062,3946.36235263094,-681.410612668203,
27420,1530821.06374688,-2746760.5224651,-7046331.51811527,5893.14135784822,4095.15119267033,-315.742859635705,
27480,1881844.51156423,-2496905.33541513,-7054278.76400023,5804.60522174702,4231.19461283066,50.9031884377063,
27540,2227012.39102302,-2239280.50109175,-7040226.2639533,5698.00594822873,4354.07275797051,417.392830185202,
